Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade Group,Comment,Date
Mining,1.927e-05,HNT2,,,,,Helium,,Block 847666,2021-05-17 00:16:55
Mining,2.656e-05,HNT2,,,,,Helium,,Block 847805,2021-05-17 02:20:20
Mining,0.07644381,HNT2,,,,,Helium,,Block 847841,2021-05-17 02:51:16
Mining,1.783e-05,HNT2,,,,,Helium,,Block 847917,2021-05-17 03:58:14
Mining,2.465e-05,HNT2,,,,,Helium,,Block 848046,2021-05-17 05:49:45
Mining,2.825e-05,HNT2,,,,,Helium,,Block 848158,2021-05-17 07:25:38
Mining,0.09963224,HNT2,,,,,Helium,,Block 848211,2021-05-17 08:15:20
Mining,3.243e-05,HNT2,,,,,Helium,,Block 848282,2021-05-17 09:18:49
Mining,2.944e-05,HNT2,,,,,Helium,,Block 848410,2021-05-17 11:09:32
Mining,3.471e-05,HNT2,,,,,Helium,,Block 848522,2021-05-17 12:46:55
Mining,0.09339133,HNT2,,,,,Helium,,Block 848632,2021-05-17 14:27:51
Mining,2.952e-05,HNT2,,,,,Helium,,Block 848677,2021-05-17 15:10:24
Mining,0.09819493,HNT2,,,,,Helium,,Block 848870,2021-05-17 18:57:42
Mining,0.08797717999999999,HNT2,,,,,Helium,,Block 848945,2021-05-17 20:44:04
Mining,1.372e-05,HNT2,,,,,Helium,,Block 849047,2021-05-17 22:40:00
Mining,1.25654031,HNT2,,,,,Helium,,Block 849171,2021-05-18 00:55:03
Mining,0.6811105,HNT2,,,,,Helium,,Block 849442,2021-05-18 04:55:14
Mining,2.21269845,HNT2,,,,,Helium,,Block 849725,2021-05-18 09:02:38
Mining,0.11356165,HNT2,,,,,Helium,,Block 849843,2021-05-18 10:45:32
Mining,1.67183589,HNT2,,,,,Helium,,Block 849876,2021-05-18 11:16:49
Mining,2.0952314800000003,HNT2,,,,,Helium,,Block 850216,2021-05-18 16:24:05
Mining,2.9607079599999997,HNT2,,,,,Helium,,Block 850366,2021-05-18 20:18:21
Mining,0.99952054,HNT2,,,,,Helium,,Block 850619,2021-05-19 00:26:46
Mining,0.10951166,HNT2,,,,,Helium,,Block 850884,2021-05-19 04:23:17
Mining,0.13775712,HNT2,,,,,Helium,,Block 850962,2021-05-19 05:34:09
Mining,0.53714494,HNT2,,,,,Helium,,Block 851271,2021-05-19 10:33:08
Mining,1.4409434600000002,HNT2,,,,,Helium,,Block 851321,2021-05-19 11:20:04
Mining,0.10046842,HNT2,,,,,Helium,,Block 851364,2021-05-19 11:58:24
Mining,9.38e-06,HNT2,,,,,Helium,,Block 851432,2021-05-19 13:00:41
Mining,0.11898475,HNT2,,,,,Helium,,Block 851471,2021-05-19 13:37:00
Mining,1.484e-05,HNT2,,,,,Helium,,Block 851543,2021-05-19 14:39:38
Mining,0.25538204000000003,HNT2,,,,,Helium,,Block 851662,2021-05-19 16:36:41
Mining,1.107e-05,HNT2,,,,,Helium,,Block 851703,2021-05-19 17:15:07
Mining,1.766e-05,HNT2,,,,,Helium,,Block 851925,2021-05-19 21:35:27
Mining,2.6623487,HNT2,,,,,Helium,,Block 851964,2021-05-19 22:13:14
Mining,0.09729551,HNT2,,,,,Helium,,Block 852033,2021-05-19 23:37:53
Mining,0.07670947,HNT2,,,,,Helium,,Block 852093,2021-05-20 00:36:55
Mining,1.12110838,HNT2,,,,,Helium,,Block 852128,2021-05-20 01:15:41
Mining,2.392e-05,HNT2,,,,,Helium,,Block 852162,2021-05-20 01:57:23
Mining,4.033e-05,HNT2,,,,,Helium,,Block 852195,2021-05-20 02:33:46
Mining,2.262e-05,HNT2,,,,,Helium,,Block 852322,2021-05-20 04:41:28
Mining,2.083e-05,HNT2,,,,,Helium,,Block 852442,2021-05-20 06:32:18
Mining,1.8919892600000001,HNT2,,,,,Helium,,Block 852572,2021-05-20 09:40:36
Mining,0.08087809,HNT2,,,,,Helium,,Block 852642,2021-05-20 11:12:42
Mining,1.8860000000000002e-05,HNT2,,,,,Helium,,Block 852685,2021-05-20 12:17:31
Mining,2.316e-05,HNT2,,,,,Helium,,Block 852843,2021-05-20 15:51:32
Mining,0.10479985,HNT2,,,,,Helium,,Block 852954,2021-05-20 17:50:20
Mining,0.06483742,HNT2,,,,,Helium,,Block 853023,2021-05-20 19:11:19
Mining,6.97e-06,HNT2,,,,,Helium,,Block 853062,2021-05-20 20:02:00
Mining,0.08299636,HNT2,,,,,Helium,,Block 853320,2021-05-21 00:44:45
Mining,3.72e-06,HNT2,,,,,Helium,,Block 853421,2021-05-21 02:25:55
Mining,0.09310128,HNT2,,,,,Helium,,Block 853466,2021-05-21 03:10:36
Mining,3.63e-06,HNT2,,,,,Helium,,Block 853579,2021-05-21 05:02:08
Mining,0.07569098,HNT2,,,,,Helium,,Block 853652,2021-05-21 06:12:43
Mining,0.07869806000000001,HNT2,,,,,Helium,,Block 853687,2021-05-21 06:50:24
Mining,8.76e-06,HNT2,,,,,Helium,,Block 853816,2021-05-21 09:11:37
Mining,3.31e-06,HNT2,,,,,Helium,,Block 853893,2021-05-21 10:26:30
Mining,9.25e-06,HNT2,,,,,Helium,,Block 853937,2021-05-21 11:16:10
Mining,0.05640982,HNT2,,,,,Helium,,Block 853975,2021-05-21 11:52:10
Mining,1.32e-06,HNT2,,,,,Helium,,Block 854124,2021-05-21 14:37:07
Mining,1.838e-05,HNT2,,,,,Helium,,Block 854163,2021-05-21 15:28:32
Mining,0.07344834,HNT2,,,,,Helium,,Block 854213,2021-05-21 16:37:51
Mining,3.44e-06,HNT2,,,,,Helium,,Block 854259,2021-05-21 17:34:11
Mining,2.0039999999999998e-05,HNT2,,,,,Helium,,Block 854307,2021-05-21 18:36:29
Mining,5.99e-06,HNT2,,,,,Helium,,Block 854340,2021-05-21 19:16:14
