Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade Group,Comment,Date,Tx-ID,Buy Value in your Account Currency,Sell Value in your Account Currency
Mining,8.17e-06,HNT2,,,,,Helium,,Block 845816,2021-05-15 20:13:53,,0.00011999156449999999,
Mining,0.09656176,HNT2,,,,,Helium,,Block 845911,2021-05-15 21:47:48,,1.4180094456,
Mining,1.355e-05,HNT2,,,,,Helium,,Block 845959,2021-05-15 22:34:11,,0.00019998356925,
Mining,1.288e-05,HNT2,,,,,Helium,,Block 846080,2021-05-16 00:26:26,,0.000189166628,
Mining,1.309e-05,HNT2,,,,,Helium,,Block 846184,2021-05-16 01:54:34,,0.00019005403724999998,
Mining,1.552e-05,HNT2,,,,,Helium,,Block 846309,2021-05-16 03:42:52,,0.00023000640000000002,
Mining,0.05277031,HNT2,,,,,Helium,,Block 846419,2021-05-16 05:24:36,,0.78548606435,
Mining,1.143e-05,HNT2,,,,,Helium,,Block 846452,2021-05-16 05:53:53,,0.0001699437546,
Mining,0.06236196,HNT2,,,,,Helium,,Block 846486,2021-05-16 06:24:57,,0.926075106,
Mining,1.29635521,HNT2,,,,,Helium,,Block 846520,2021-05-16 06:54:47,,19.1990206601,
Mining,2.63e-05,HNT2,,,,,Helium,,Block 846554,2021-05-16 07:24:21,,0.00039002899999999996,
Mining,2.739e-05,HNT2,,,,,Helium,,Block 846694,2021-05-16 09:23:25,,0.00041002830000000005,
Mining,0.27188523,HNT2,,,,,Helium,,Block 846730,2021-05-16 09:56:37,,4.0701218931,
Mining,2.712e-05,HNT2,,,,,Helium,,Block 846810,2021-05-16 11:06:10,,0.00041183401440000005,
Mining,0.41492675,HNT2,,,,,Helium,,Block 846845,2021-05-16 11:40:38,,6.3031315129125005,
Mining,3.367e-05,HNT2,,,,,Helium,,Block 846939,2021-05-16 13:12:36,,0.0005099641365,
Mining,0.05938977,HNT2,,,,,Helium,,Block 846974,2021-05-16 13:45:34,,0.8995144869314999,
Mining,0.06658862,HNT2,,,,,Helium,,Block 847013,2021-05-16 14:19:35,,1.002158731,
Mining,4.996e-05,HNT2,,,,,Helium,,Block 847067,2021-05-16 15:08:39,,0.0007499468122,
Mining,3.584e-05,HNT2,,,,,Helium,,Block 847190,2021-05-16 16:56:22,,0.0005300187648000001,
Mining,0.07529133,HNT2,,,,,Helium,,Block 847309,2021-05-16 18:43:37,,1.09729584342,
Mining,1.919e-05,HNT2,,,,,Helium,,Block 847422,2021-05-16 20:27:30,,0.0002699946645,
